E_GS,Evar_GS,E_MPSs,Evar_MPSs,SW_GS,SW_MPSs,MPS_runtimes,GS_runtimes,current_ks
5.843128e-06,2.2661106947706308e-05,6.600204869755544e-06,0.0003728863823139,0.9999996423721312,1.0000001192092896,181.30235886573792,0.5061194896697998,0.1
0.0026853953,0.0038559456301139,0.0021701785735785,0.0056569440783901,0.999991536140442,1.0,190.1390643119812,3.177798271179199,0.5
0.009242601,0.0049255168687478,0.0071097980253398,0.0142890145323965,0.9999847412109376,0.9999992847442628,173.9938607215881,9.104507446289062,0.7880293000746187
0.02686116,0.0173479223334992,0.0194973014295101,0.0783081867503428,0.9999862909317015,1.0000007152557373,153.32753610610962,13.584503889083862,1.2419803555521869
0.066938914,0.0392468517018515,0.0457620099186897,0.1072673082481018,0.9999671578407288,1.0,148.21432256698608,19.676947832107544,1.957433820584432
0.15409836,0.1298008963808005,0.0940141901373863,0.1696878678751201,0.99991637468338,1.0,173.74901509284973,102.34058690071106,3.0850304071550734
0.2843663096427917,0.8198362832825533,0.173157125711441,0.2400099239507793,0.9996750354766846,0.9999998807907104,175.30203676223755,188.2450773715973,4.8621887049186565
0.5233424,8.045361684553924,0.2917548418045044,0.2686428389449085,0.99950909614563,0.999999225139618,189.78695106506348,350.95842242240906,7.66309432393553
0.9041612,6.852939045730262,0.4580982029438019,0.3712215986552436,0.9989773035049438,1.0000009536743164,181.65007400512687,562.4386839866638,12.077485712993402
1.4956887,14.19539872019626,0.6794978976249695,0.3508339490789638,0.996713161468506,1.0000015497207642,195.52059674263,1578.6274869441986,19.0348252261428
2.4598324,6.716844719162036,0.9634311199188232,0.5292258191385302,0.997048318386078,1.0000014305114746,196.0308079719544,3328.226790189743,30.0
