F_dmrgGSs,F_dmrgtrues,F_dmrgMPSs,F_GStrues,F_GSMPSs,F_MPStrues,E_dmrgs,Evar_dmrgs,E_trues,Evar_trues,E_GSs,Evar_GSs,E_MPSs,Evar_MPSs,SW_dmrgs,SW_trues,SW_GSs,SW_MPSs,MPS_runtimes,DMRG_runtimes,TW_runtimes,GS_runtimes
0.9881261621624768,0.9850191904950744,0.9930250506824426,0.99913203036951,0.9907041755748962,0.989955793903992,0.0562446117401123,0.5875519450290748,0.0190542953012428,0.438103385666705,0.010368129,,0.08214425,0.9981307423738848,0.9999984502792358,0.9987899268673696,1.0000088,0.9887408018112184,15.417088508605955,1.5594313144683838,0.4598143100738525,159.2146863937378
0.957720778199158,0.950586255509596,0.9772609164055722,0.9989945847398122,0.9714484945806348,0.9665884122273888,0.1497235298156738,0.9731976906419052,0.0223690347087818,0.4638593271591744,0.0124177905,,0.25807258,2.084723257562897,0.9999982118606568,0.9985810951273052,1.0000148,0.9652283191680908,10.125279188156128,1.0604803562164309,0.4740960597991943,170.66230821609497
0.8521005449585618,0.7149333754211898,0.8706316593950743,0.9300913373949352,0.8492158928929506,0.8033561839671388,1.0589566230773926,2.737660253020428,1.4415334004707212,6.823271708895239,0.46155006,,2.025448,9.500930737375748,0.999998927116394,0.9023822511074936,1.000021,0.7243382334709167,32.16321587562561,1.7336010932922363,0.4746761322021484,244.8823812007904
0.8244699090302268,0.7281825072392774,0.8948292132959503,0.9614632904487443,0.8550446432677697,0.8026827001991783,0.882716178894043,2.388886125918133,0.7702152847677686,4.689800668247072,0.25228974,,1.5326126,6.698948161727123,0.9999986290931702,0.9498446104149294,1.0000182,0.761725127696991,15.607810735702516,3.549530267715454,0.4786550998687744,221.16511225700376
0.9275235257504936,0.8725424927297001,0.9420628146842668,0.9789206155763366,0.9359018165991928,0.9170476943364833,0.4158165454864502,1.5465057841671603,0.3833756354166658,2.795108772658351,0.14308257,,0.7937624,4.085715940131581,0.9999992847442628,0.9748127257770698,1.0000161,0.893226683139801,12.049405574798584,2.5299525260925293,0.4894635677337646,255.7705907821656
0.989544765723127,0.9874090923062532,0.9951986978020824,0.9995714538578198,0.9922201291797031,0.9913551803115592,0.046749472618103,0.561831244882364,0.0104095891176898,0.3060071295991809,0.0060217204,0.0003779598593214,0.07056228,0.9989693708993372,0.9999985098838806,0.9993440737434872,1.0000067,0.9906820058822632,19.68133902549744,0.8592164516448975,0.4641003608703613,124.1637852191925
0.8388597704838074,0.7635754956012955,0.8861768665088107,0.9793091265716972,0.8760356043266364,0.8303507429732929,0.7184028625488281,2.2794075668937124,0.3733769451795689,2.711193568614359,0.14242934,0.000349012389992,1.2020682,5.880039833635022,0.9999993443489076,0.9756074987400404,1.0000159,0.8096669912338257,18.899461030960083,1.480363368988037,0.4734895229339599,212.83518481254572
0.9436192490947044,0.908529267396046,0.9535583050994229,0.9864486408502944,0.9536740583055316,0.9448444066876196,0.2977533340454101,1.30852924146632,0.2483391430250898,2.214206188416928,0.09511315,0.0014275881599191,0.5529241,3.3138481193914786,0.9999990463256836,0.9841173225467796,1.0000148,0.92986661195755,21.27466487884521,1.4618544578552246,0.4715523719787597,226.1864128112793
0.9990632108761844,0.999031622751636,0.999775732946426,0.9999976322970088,0.99926065515292,0.9992399926557524,0.0046335160732269,0.1874166723969516,0.0001422803337415,0.0244990912423278,0.00010824198,6.618373306473453e-05,0.0057871565,0.2608301805733609,0.9999985694885254,0.9999910147366968,1.000006,0.9992299675941468,14.27242636680603,0.689507246017456,0.4651086330413818,123.57587122917175
0.9419998024808692,0.911327688104456,0.9577550157285324,0.9886915436205094,0.95144932340198,0.9426203445202228,0.2857844829559326,1.3353143384068389,0.2062942208399579,1.9852236286035208,0.07983743,,0.5369213,3.5556361394924134,0.9999984502792358,0.9867175385008666,1.0000148,0.9301611185073853,17.225761651992798,1.3044805526733398,0.4776277542114258,214.5034594535828
0.9578252563568392,0.9158037042443272,0.9555649804852984,0.9810804131088762,0.958553022476478,0.9532904687583892,0.2916712760925293,1.5186200475645748,0.3497117075374397,2.749537737818309,0.12740609,,0.7318615,5.942689611269077,0.9999986886978148,0.9774930002485344,1.0000181,0.9318823218345642,27.690003156661987,1.4350368976593018,0.468165636062622,231.63039326667783
0.8863770105745747,0.809254207074176,0.9178013340058532,0.9722504879788666,0.9043001988632678,0.8696360519148345,0.6047482490539551,1.9975643392384224,0.5053489860220076,3.277208101190973,0.18500099,0.0008579757289801,1.1130006,5.558430336663788,0.9999992847442628,0.9667051703035916,1.0000191,0.8403902649879456,23.378292322158813,3.0489039421081543,0.4757637977600097,204.43802213668823
0.9630219443029274,0.944499492481594,0.971838946906658,0.9945263371397464,0.9709305011710296,0.9657412441600046,0.1818042993545532,1.0576916889142471,0.1016651004116031,1.216748471762895,0.045552023,,0.30264536,2.1796293098397506,0.9999987483024596,0.9935064106279152,1.0000119,0.9593605995178224,15.611675500869753,1.094536542892456,0.491962194442749,225.13884687423703
0.9733464811361732,0.9651706068693268,0.9835463627601084,0.9983951192225272,0.980831909649806,0.976992153046762,0.1144099235534668,0.8991205501523709,0.0333374923103267,0.5951421551471426,0.017568465,,0.19975892,1.8958970684195824,0.9999983310699464,0.9978794233265934,1.0000129,0.9746166467666626,16.866285800933838,1.140216588973999,0.4704487323760986,184.4647850990296
