Es,Evars,Ekappas,Ekappavars,EGBSs,EGBSvars,SWs,SWkappas,SWGBSs,runtimes,kappa_runtimes,GBS_runtimes,seed
1.5744073,7.607860209761629,0.9367518,2.797935662809498,0.0015450716018676,0.1308797945412132,0.9999977946281432,0.9999979138374328,0.9999986290931702,16.829370498657227,269.6540231704712,10.996009349822998,700
1.3187156,5.495669572047694,0.70434755,2.1196979592198844,0.0001564025878906,0.043939804520077,0.9999994039535522,0.999997615814209,0.999998927116394,19.571364879608154,285.8224604129791,6.4716010093688965,701
0.7279038,4.802253454858668,0.3572699,1.6374664075098158,8.225440979003906e-05,0.030381103308806,0.999998927116394,0.999999463558197,0.9999991059303284,21.65615725517273,278.6939558982849,6.5791425704956055,702
0.6403091,6.646739509569585,0.30828154,1.262539604075092,1.615285873413086e-05,0.0133079469269234,0.9999983310699464,0.9999977946281432,0.9999988675117492,18.75546884536743,296.4151496887207,5.112889528274536,703
1.584805,8.159212196080691,0.9571242,2.6416796302944268,0.0011623659,0.1199610916022975,0.999999463558197,0.9999979734420776,0.999999463558197,15.627882480621338,264.35524463653564,19.533939838409424,704
0.884612,5.2027370530846335,0.46607456,2.052011364389569,0.00025494554,0.0538433909167458,0.9999988675117492,0.9999991655349731,1.000000238418579,21.794819593429565,277.8081924915314,10.140808820724487,705
1.2530775,6.562702180845868,0.68800455,1.943206203753427,3.7959504e-05,0.0208208381765775,0.9999990463256836,0.9999980330467224,0.9999991655349731,24.76966619491577,273.0194158554077,8.889618158340454,706
1.2081411,5.483562471735934,0.62104034,2.1702876286924835,0.00035204572,0.0628796270519489,0.9999991655349731,0.9999979734420776,0.9999982714653016,17.80532932281494,255.0794496536255,14.841957092285156,707
1.0430214,5.222995949497107,0.49321368,1.6526718145935129,8.465865e-05,0.0309531793755042,1.0000004768371582,0.9999986886978148,0.9999986290931702,9.50798773765564,243.65748953819275,7.976444721221924,708
1.0430214,5.222995949497107,0.49321368,1.6526718145935129,8.465865e-05,0.0309531793755042,1.0000004768371582,0.9999986886978148,0.9999986290931702,9.50798773765564,243.65748953819275,7.976444721221924,708
1.932328,12.02929715424644,1.2167145,2.8995331609692845,0.0015606596,0.1368598030925999,0.9999983310699464,0.9999977350234984,0.9999990463256836,44.35966444015503,220.50241804122925,10.41056489944458,709
